name	species	genus	family	order	class	phylum	kingdom
Macaca sinica	9552	9539	9527	9443	40674	7711	33208
Macaca sylvanus	9546	9539	9527	9443	40674	7711	33208
Macaca thibetana	54602	9539	9527	9443	40674	7711	33208
Macaca tonkeana	40843	9539	9527	9443	40674	7711	33208
Mandrillus leucophaeus	9568	9567	9527	9443	40674	7711	33208
Mandrillus sphinx	9561	9567	9527	9443	40674	7711	33208
Microcebus coquereli	47180	83691	30615	9443	40674	7711	33208
Microcebus murinus	30608	13149	30615	9443	40674	7711	33208
Microcebus rufus	122232	13149	30615	9443	40674	7711	33208
Miopithecus talapoin	36231	36230	9527	9443	40674	7711	33208
Nasalis concolor	170207	43779	9527	9443	40674	7711	33208
Nasalis larvatus	43780	43779	9527	9443	40674	7711	33208
Nycticebus coucang	9470	9469	9461	9443	40674	7711	33208
Nycticebus pygmaeus	101278	9469	9461	9443	40674	7711	33208
Otolemur crassicaudatus	9463	30610	40297	9443	40674	7711	33208
Otolemur garnettii	30611	30610	40297	9443	40674	7711	33208
Pan paniscus	9597	9596	9604	9443	40674	7711	33208
Pan troglodytes	9598	9596	9604	9443	40674	7711	33208
Papio hamadryas	9557	9554	9527	9443	40674	7711	33208
Perodicticus potto	9472	9471	9461	9443	40674	7711	33208
Phaner furcifer	261734	261733	30615	9443	40674	7711	33208
Pithecia irrorata	30598	30597	376919	9443	40674	7711	33208
Pithecia monachus	595220	30597	376919	9443	40674	7711	33208
Pithecia pithecia	43777	30597	376919	9443	40674	7711	33208
Pongo pygmaeus	9600	9599	9604	9443	40674	7711	33208
Presbytis comata	78452	9573	9527	9443	40674	7711	33208
Presbytis frontata	1046092	9573	9527	9443	40674	7711	33208
Presbytis melalophos	78451	9573	9527	9443	40674	7711	33208
Presbytis potenziani	1046098	9573	9527	9443	40674	7711	33208
Presbytis rubicunda	1046101	9573	9527	9443	40674	7711	33208
Procolobus badius	164648	591932	9527	9443	40674	7711	33208
Procolobus verus	373033	164647	9527	9443	40674	7711	33208
Propithecus diadema	83281	30600	30599	9443	40674	7711	33208
Propithecus tattersalli	30601	30600	30599	9443	40674	7711	33208
Propithecus verreauxi	34825	30600	30599	9443	40674	7711	33208
Pygathrix avunculus	66062	542827	9527	9443	40674	7711	33208
Pygathrix bieti	61621	542827	9527	9443	40674	7711	33208
Pygathrix brelichi	224329	542827	9527	9443	40674	7711	33208
Pygathrix nemaeus	54133	54132	9527	9443	40674	7711	33208
Pygathrix roxellana	61622	542827	9527	9443	40674	7711	33208
Saguinus bicolor	37588	9486	9498	9443	40674	7711	33208
Saguinus fuscicollis	9487	9486	9498	9443	40674	7711	33208
Saguinus geoffroyi	43778	9486	9498	9443	40674	7711	33208
Saguinus imperator	9491	9486	9498	9443	40674	7711	33208
Saguinus labiatus	78454	9486	9498	9443	40674	7711	33208
Saguinus leucopus	290597	9486	9498	9443	40674	7711	33208
Saguinus midas	30586	9486	9498	9443	40674	7711	33208
Saguinus mystax	9488	9486	9498	9443	40674	7711	33208
Saguinus nigricollis	9489	9486	9498	9443	40674	7711	33208
Saguinus oedipus	9490	9486	9498	9443	40674	7711	33208
Saguinus tripartitus	122388	9486	9498	9443	40674	7711	33208
Saimiri boliviensis	27679	9520	9498	9443	40674	7711	33208
Saimiri oerstedii	70928	9520	9498	9443	40674	7711	33208
Saimiri sciureus	9521	9520	9498	9443	40674	7711	33208
Saimiri ustus	66265	9520	9498	9443	40674	7711	33208
Semnopithecus entellus	88029	88028	9527	9443	40674	7711	33208
Tarsius bancanus	9477	9476	9475	9443	40674	7711	33208
Tarsius spectrum	662464	9476	9475	9443	40674	7711	33208
Tarsius syrichta	9478	9476	9475	9443	40674	7711	33208
Theropithecus gelada	9565	9564	9527	9443	40674	7711	33208
Trachypithecus auratus	222416	54136	9527	9443	40674	7711	33208
Trachypithecus cristatus	122765	54136	9527	9443	40674	7711	33208
Trachypithecus francoisi	54180	54136	9527	9443	40674	7711	33208
Trachypithecus geei	164650	54136	9527	9443	40674	7711	33208
Trachypithecus johnii	66063	54136	9527	9443	40674	7711	33208
Trachypithecus obscurus	54181	54136	9527	9443	40674	7711	33208
Trachypithecus phayrei	61618	54136	9527	9443	40674	7711	33208
Trachypithecus pileatus	164651	54136	9527	9443	40674	7711	33208
Trachypithecus vetulus	54137	54136	9527	9443	40674	7711	33208
Varecia variegata	9455	9454	9445	9443	40674	7711	33208
