name	species	genus	family	order	class	phylum	kingdom
Allenopithecus nigroviridis	54135	54134	9527	9443	40674	7711	33208
Allocebus trichotis	122248	122247	30615	9443	40674	7711	33208
Alouatta belzebul	30590	9499	378855	9443	40674	7711	33208
Alouatta caraya	9502	9499	378855	9443	40674	7711	33208
Alouatta fusca	182256	9499	378855	9443	40674	7711	33208
Alouatta palliata	30589	9499	378855	9443	40674	7711	33208
Alouatta pigra	182253	9499	378855	9443	40674	7711	33208
Alouatta seniculus	9503	9499	378855	9443	40674	7711	33208
Aotus azarai	30591	9504	376918	9443	40674	7711	33208
Aotus brumbacki	361674	9504	376918	9443	40674	7711	33208
Aotus infulatus	174597	9504	376918	9443	40674	7711	33208
Aotus lemurinus	43147	9504	376918	9443	40674	7711	33208
Aotus nancymaae	37293	9504	376918	9443	40674	7711	33208
Aotus nigriceps	57175	9504	376918	9443	40674	7711	33208
Aotus trivirgatus	9505	9504	376918	9443	40674	7711	33208
Aotus vociferans	57176	9504	376918	9443	40674	7711	33208
Arctocebus calabarensis	261739	261738	9461	9443	40674	7711	33208
Ateles belzebuth	9507	9506	378855	9443	40674	7711	33208
Ateles chamek	9507	9506	378855	9443	40674	7711	33208
Ateles fusciceps	9508	9506	378855	9443	40674	7711	33208
Ateles geoffroyi	9509	9506	378855	9443	40674	7711	33208
Ateles paniscus	9510	9506	378855	9443	40674	7711	33208
Avahi laniger	122246	122245	30599	9443	40674	7711	33208
Brachyteles arachnoides	30594	30593	378855	9443	40674	7711	33208
Cacajao calvus	30596	30595	376919	9443	40674	7711	33208
Cacajao melanocephalus	70825	30595	376919	9443	40674	7711	33208
Callicebus brunneus	221704	9522	376919	9443	40674	7711	33208
Callicebus caligatus	867332	9522	376919	9443	40674	7711	33208
Callicebus cupreus	202457	9522	376919	9443	40674	7711	33208
Callicebus donacophilus	230833	9522	376919	9443	40674	7711	33208
Callicebus hoffmannsi	78255	9522	376919	9443	40674	7711	33208
Callicebus moloch	9523	9522	376919	9443	40674	7711	33208
Callicebus personatus	70814	9522	376919	9443	40674	7711	33208
Callicebus torquatus	30592	9522	376919	9443	40674	7711	33208
Callimico goeldii	9495	9494	9498	9443	40674	7711	33208
Callithrix argentata	9482	9481	9498	9443	40674	7711	33208
Callithrix aurita	57375	9481	9498	9443	40674	7711	33208
Callithrix geoffroyi	52231	9481	9498	9443	40674	7711	33208
Callithrix humeralifera	52232	9481	9498	9443	40674	7711	33208
Callithrix jacchus	9483	9481	9498	9443	40674	7711	33208
Callithrix kuhlii	867363	9481	9498	9443	40674	7711	33208
Callithrix penicillata	57378	9481	9498	9443	40674	7711	33208
Callithrix pygmaea	9493	9481	9498	9443	40674	7711	33208
Cebus albifrons	9514	9513	9498	9443	40674	7711	33208
Cebus apella	9515	9513	9498	9443	40674	7711	33208
Cebus capucinus	9516	9513	9498	9443	40674	7711	33208
Cebus olivaceus	37295	9513	9498	9443	40674	7711	33208
Cercocebus galeritus	9532	9529	9527	9443	40674	7711	33208
Cercocebus torquatus	9530	9529	9527	9443	40674	7711	33208
Cercopithecus ascanius	36223	9533	9527	9443	40674	7711	33208
Cercopithecus campbelli	303588	9533	9527	9443	40674	7711	33208
Cercopithecus cephus	9535	9533	9527	9443	40674	7711	33208
Cercopithecus diana	36224	9533	9527	9443	40674	7711	33208
Cercopithecus erythrogaster	161496	9533	9527	9443	40674	7711	33208
Cercopithecus erythrotis	167130	9533	9527	9443	40674	7711	33208
Cercopithecus hamlyni	9536	9533	9527	9443	40674	7711	33208
Cercopithecus lhoesti	100224	9533	9527	9443	40674	7711	33208
Cercopithecus mitis	36225	9533	9527	9443	40674	7711	33208
Cercopithecus mona	36226	9533	9527	9443	40674	7711	33208
Cercopithecus neglectus	36227	9533	9527	9443	40674	7711	33208
Cercopithecus nictitans	36228	9533	9527	9443	40674	7711	33208
Cercopithecus petaurista	100487	9533	9527	9443	40674	7711	33208
Cercopithecus pogonias	102108	9533	9527	9443	40674	7711	33208
Cercopithecus preussi	147649	9533	9527	9443	40674	7711	33208
Cercopithecus solatus	147650	9533	9527	9443	40674	7711	33208
Cercopithecus wolfi	263448	9533	9527	9443	40674	7711	33208
Cheirogaleus major	47177	9459	30615	9443	40674	7711	33208
Cheirogaleus medius	9460	9459	30615	9443	40674	7711	33208
Chiropotes albinasus	198627	9524	376919	9443	40674	7711	33208
Chiropotes satanas	9525	9524	376919	9443	40674	7711	33208
Chlorocebus aethiops	9534	392815	9527	9443	40674	7711	33208
Colobus angolensis	54131	9570	9527	9443	40674	7711	33208
Colobus guereza	33548	9570	9527	9443	40674	7711	33208
Colobus polykomos	9572	9570	9527	9443	40674	7711	33208
Colobus satanas	517012	9570	9527	9443	40674	7711	33208
Daubentonia madagascariensis	31869	13038	30613	9443	40674	7711	33208
Erythrocebus patas	9538	9537	9527	9443	40674	7711	33208
Eulemur coronatus	13514	13513	9445	9443	40674	7711	33208
Eulemur fulvus	13515	13513	9445	9443	40674	7711	33208
Eulemur macaco	30602	13513	9445	9443	40674	7711	33208
Eulemur mongoz	34828	13513	9445	9443	40674	7711	33208
Eulemur rubriventer	34829	13513	9445	9443	40674	7711	33208
Euoticus elegantulus	261736	261735	40297	9443	40674	7711	33208
Galago alleni	34830	9462	40297	9443	40674	7711	33208
Galago gallarum	111173	9462	40297	9443	40674	7711	33208
Galago matschiei	135486	9462	40297	9443	40674	7711	33208
Galago moholi	30609	9462	40297	9443	40674	7711	33208
Galago senegalensis	9465	9462	40297	9443	40674	7711	33208
Galagoides demidoff	89672	89671	40297	9443	40674	7711	33208
Galagoides zanzibaricus	111174	89671	40297	9443	40674	7711	33208
Gorilla gorilla	9593	9592	9604	9443	40674	7711	33208
Hapalemur aureus	122222	13556	9445	9443	40674	7711	33208
Hapalemur griseus	13557	13556	9445	9443	40674	7711	33208
Hapalemur simus	122223	13556	9445	9443	40674	7711	33208
Homo sapiens	9606	9605	9604	9443	40674	7711	33208
Hylobates agilis	9579	9578	9577	9443	40674	7711	33208
Hylobates concolor	29089	325165	9577	9443	40674	7711	33208
Hylobates gabriellae	61852	325165	9577	9443	40674	7711	33208
Hylobates hoolock	61851	325167	9577	9443	40674	7711	33208
Hylobates klossii	9587	9578	9577	9443	40674	7711	33208
Hylobates lar	9580	9578	9577	9443	40674	7711	33208
Hylobates leucogenys	61853	325165	9577	9443	40674	7711	33208
Hylobates moloch	81572	9578	9577	9443	40674	7711	33208
Hylobates muelleri	9588	9578	9577	9443	40674	7711	33208
Hylobates pileatus	9589	9578	9577	9443	40674	7711	33208
Hylobates syndactylus	9590	325166	9577	9443	40674	7711	33208
Indri indri	34827	34826	30599	9443	40674	7711	33208
Lagothrix lagotricha	9519	9518	378855	9443	40674	7711	33208
Lemur catta	9447	9446	9445	9443	40674	7711	33208
Leontopithecus chrysomela		41127	27439	7041	50557	6656	33208
Leontopithecus chrysopygus	58710	30587	9498	9443	40674	7711	33208
Leontopithecus rosalia	30588	30587	9498	9443	40674	7711	33208
Lepilemur dorsalis	78583	9452	30614	9443	40674	7711	33208
Lepilemur edwardsi	122230	9452	30614	9443	40674	7711	33208
Lepilemur leucopus	100475	9452	30614	9443	40674	7711	33208
Lepilemur mustelinus	9453	9452	30614	9443	40674	7711	33208
Lepilemur ruficaudatus	78866	9452	30614	9443	40674	7711	33208
Lepilemur septentrionalis	78584	9452	30614	9443	40674	7711	33208
Lophocebus albigena	75567	75565	9527	9443	40674	7711	33208
Loris tardigradus	9468	9467	9461	9443	40674	7711	33208
Macaca arctoides	9540	9539	9527	9443	40674	7711	33208
Macaca assamensis	9551	9539	9527	9443	40674	7711	33208
Macaca cyclopis	78449	9539	9527	9443	40674	7711	33208
Macaca fascicularis	9541	9539	9527	9443	40674	7711	33208
Macaca fuscata	9542	9539	9527	9443	40674	7711	33208
Macaca maura	90383	9539	9527	9443	40674	7711	33208
Macaca mulatta	9544	9539	9527	9443	40674	7711	33208
Macaca nemestrina	9545	9539	9527	9443	40674	7711	33208
Macaca nigra	54600	9539	9527	9443	40674	7711	33208
Macaca ochreata	90385	9539	9527	9443	40674	7711	33208
Macaca radiata	9548	9539	9527	9443	40674	7711	33208
Macaca silenus	54601	9539	9527	9443	40674	7711	33208
