name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Acinonyx jubatus 	 NA	NA	NA	32536	NA	NA	NA	32535	NA	NA	338151	9681	NA	NA	NA	379583	33554	314145	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759 
Felis margarita 	 NA	NA	NA	61378	NA	NA	NA	9682	NA	NA	338152	9681	NA	NA	NA	379583	33554	314145	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759 
Lynx rufus 	 NA	NA	NA	61384	NA	NA	NA	13124	NA	NA	338152	9681	NA	NA	NA	379583	33554	314145	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759 
Lynx pardinus 	 NA	NA	NA	191816	NA	NA	NA	13124	NA	NA	338152	9681	NA	NA	NA	379583	33554	314145	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759 
